a1 a1
a2 a2
a3 a3
a4 a4
a5 a5
ai1 ai1
ai2 ai2
ai3 ai3
ai4 ai4
ai5 ai5
an1 an1
an2 an2
an3 an3
an4 an4
an5 an5
ang1 ang1
ang2 ang2
ang3 ang3
ang4 ang4
ang5 ang5
ao1 ao1
ao2 ao2
ao3 ao3
ao4 ao4
ao5 ao5
zaor1 z ao1 rr
zaor2 z ao2 rr
zaor3 z ao3 rr
zaor4 z ao4 rr
zaor5 z ao5 rr
zer1 z e1 rr
zer2 z e2 rr
zer3 z e3 rr
zer4 z e4 rr
zer5 z e5 rr
zeir1 z ei1 rr
zeir2 z ei2 rr
zeir3 z ei3 rr
zeir4 z ei4 rr
zeir5 z ei5 rr
zenr1 z en1 rr
zenr2 z en2 rr
zenr3 z en3 rr
zenr4 z en4 rr
zenr5 z en5 rr
zengr1 z eng1 rr
zengr2 z eng2 rr
zengr3 z eng3 rr
zengr4 z eng4 rr
zengr5 z eng5 rr
zhar1 zh a1 rr
zhar2 zh a2 rr
zhar3 zh a3 rr
zhar4 zh a4 rr
zhar5 zh a5 rr
zhair1 zh ai1 rr
zhair2 zh ai2 rr
zhair3 zh ai3 rr
zhair4 zh ai4 rr
zhair5 zh ai5 rr
zhanr1 zh an1 rr
zhanr2 zh an2 rr
zhanr3 zh an3 rr
zhanr4 zh an4 rr
zhanr5 zh an5 rr
zhangr1 zh ang1 rr
zhangr2 zh ang2 rr
zhangr3 zh ang3 rr
zhangr4 zh ang4 rr
zhangr5 zh ang5 rr
zhaor1 zh ao1 rr
zhaor2 zh ao2 rr
zhaor3 zh ao3 rr
zhaor4 zh ao4 rr
zhaor5 zh ao5 rr
zher1 zh e1 rr
zher2 zh e2 rr
zher3 zh e3 rr
zher4 zh e4 rr
zher5 zh e5 rr
zheir1 zh ei1 rr
zheir2 zh ei2 rr
zheir3 zh ei3 rr
zheir4 zh ei4 rr
zheir5 zh ei5 rr
zhenr1 zh en1 rr
zhenr2 zh en2 rr
zhenr3 zh en3 rr
zhenr4 zh en4 rr
zhenr5 zh en5 rr
zhengr1 zh eng1 rr
zhengr2 zh eng2 rr
zhengr3 zh eng3 rr
zhengr4 zh eng4 rr
zhengr5 zh eng5 rr
zhir1 zh iii1 rr
zhir2 zh iii2 rr
zhir3 zh iii3 rr
zhir4 zh iii4 rr
zhir5 zh iii5 rr
zhongr1 zh ong1 rr
zhongr2 zh ong2 rr
zhongr3 zh ong3 rr
zhongr4 zh ong4 rr
zhongr5 zh ong5 rr
zhour1 zh ou1 rr
zhour2 zh ou2 rr
zhour3 zh ou3 rr
zhour4 zh ou4 rr
zhour5 zh ou5 rr
zhur1 zh u1 rr
zhur2 zh u2 rr
zhur3 zh u3 rr
zhur4 zh u4 rr
zhur5 zh u5 rr
zhuar1 zh ua1 rr
zhuar2 zh ua2 rr
zhuar3 zh ua3 rr
zhuar4 zh ua4 rr
zhuar5 zh ua5 rr
zhuair1 zh uai1 rr
zhuair2 zh uai2 rr
zhuair3 zh uai3 rr
zhuair4 zh uai4 rr
zhuair5 zh uai5 rr
zhuanr1 zh uan1 rr
zhuanr2 zh uan2 rr
zhuanr3 zh uan3 rr
zhuanr4 zh uan4 rr
zhuanr5 zh uan5 rr
zhuangr1 zh uang1 rr
zhuangr2 zh uang2 rr
zhuangr3 zh uang3 rr
zhuangr4 zh uang4 rr
zhuangr5 zh uang5 rr
zhuir1 zh uei1 rr
zhuir2 zh uei2 rr
zhuir3 zh uei3 rr
zhuir4 zh uei4 rr
zhuir5 zh uei5 rr
zhunr1 zh uen1 rr
zhunr2 zh uen2 rr
zhunr3 zh uen3 rr
zhunr4 zh uen4 rr
zhunr5 zh uen5 rr
zhuor1 zh uo1 rr
zhuor2 zh uo2 rr
zhuor3 zh uo3 rr
zhuor4 zh uo4 rr
zhuor5 zh uo5 rr
zir1 z ii1 rr
zir2 z ii2 rr
zir3 z ii3 rr
zir4 z ii4 rr
zir5 z ii5 rr
zongr1 z ong1 rr
zongr2 z ong2 rr
zongr3 z ong3 rr
zongr4 z ong4 rr
zongr5 z ong5 rr
zour1 z ou1 rr
zour2 z ou2 rr
zour3 z ou3 rr
zour4 z ou4 rr
zour5 z ou5 rr
zur1 z u1 rr
zur2 z u2 rr
zur3 z u3 rr
zur4 z u4 rr
zur5 z u5 rr
zuanr1 z uan1 rr
zuanr2 z uan2 rr
zuanr3 z uan3 rr
zuanr4 z uan4 rr
zuanr5 z uan5 rr
zuir1 z uei1 rr
zuir2 z uei2 rr
zuir3 z uei3 rr
zuir4 z uei4 rr
zuir5 z uei5 rr
zunr1 z uen1 rr
zunr2 z uen2 rr
zunr3 z uen3 rr
zunr4 z uen4 rr
zunr5 z uen5 rr
zuor1 z uo1 rr
zuor2 z uo2 rr
zuor3 z uo3 rr
zuor4 z uo4 rr
zuor5 z uo5 rr
